"yardline_100","xfp_pp"
1,3.34748892171344
2,2.53705096073517
3,2.06111636707663
4,1.76818181818182
5,1.40847228481298
6,1.21163366336634
7,1.08180466038671
8,0.983182275931521
9,0.769447138700291
10,0.755606060606061
11,0.701938163359483
12,0.677165748622934
13,0.667915465898175
14,0.661865942028986
15,0.599655469422911
16,0.60491723466407
17,0.576286676286676
18,0.499712505989459
19,0.54117381489842
20,0.538064774090364
21,0.522503451449609
22,0.521346242508068
23,0.535047951176983
24,0.49398951189996
25,0.50119940029985
26,0.495496246872394
27,0.486206896551724
28,0.503996703749485
29,0.474952989845807
30,0.510999641705482
31,0.47903739061257
32,0.519189189189189
33,0.474186135580237
34,0.449893314366999
35,0.494969615124916
36,0.473602596465921
37,0.497568275346053
38,0.504357711254263
39,0.458041237113402
40,0.47122641509434
41,0.507390700902151
42,0.476731601731602
43,0.474368474233749
44,0.45622929092114
45,0.471172248803828
46,0.49678391959799
47,0.483791115632418
48,0.462003968253968
49,0.471424196018377
50,0.495873374788016
51,0.46041028781384
52,0.462389784128915
53,0.443480825958702
54,0.447337608028994
55,0.465067130780706
56,0.483004067402673
57,0.464796203238414
58,0.461050266778995
59,0.46118368435084
60,0.473764757324005
61,0.478577117069286
62,0.494415173867229
63,0.465551082033216
64,0.467117893182378
65,0.486462014134276
66,0.475520833333333
67,0.485564957690393
68,0.466699266503667
69,0.454976635514019
70,0.489230418943534
71,0.457276368491322
72,0.503124179574692
73,0.478660520607375
74,0.461369127516779
75,0.487759180614539
76,0.458297629248786
77,0.484373088685015
78,0.468513212352754
79,0.472446633825944
80,0.46516295517538
81,0.461663286004057
82,0.495827843653931
83,0.491108986615679
84,0.445454545454545
85,0.484791666666667
86,0.465761448349308
87,0.477124563445867
88,0.50440097799511
89,0.48319646241314
90,0.475933202357564
91,0.492570281124498
92,0.453168469860896
93,0.451224105461394
94,0.45587044534413
95,0.470557851239669
96,0.443682310469314
97,0.418741808650066
98,0.360474308300395
99,0.29198250728863
NA,0.1
